site,branch,site_pos,branch_pos,q,rho,cos
layer_1_mha_output_out,layer_1_mha_output_out,1,1,1.0,Inf,NaN
layer_1_mha_output_out,layer_1_mlp_out,1,2,0.5904048283200526,1.1507446874977618,-0.23076089783556147
layer_1_mha_output_out,layer_2_mha_output_out,1,3,0.13803265541786036,0.4056220931249908,-0.01289389364101606
layer_1_mha_output_out,layer_2_mlp_out,1,4,0.3586665710410669,0.8134236371602471,-0.2856409791954
layer_1_mha_output_out,layer_3_mha_output_out,1,5,0.04412783355736527,0.2807888792037285,-0.1220096926642035
layer_1_mha_output_out,layer_3_mlp_out,1,6,0.19480504270491983,0.6486242363319737,-0.36359254109519007
layer_1_mha_output_out,layer_4_mha_output_out,1,7,0.10196176159258152,0.38726707233003815,-0.1061396152090666
layer_1_mha_output_out,layer_4_mlp_out,1,8,0.17676862987713193,0.6039080976084206,-0.31625683285648326
layer_1_mha_output_out,layer_5_mha_output_out,1,9,0.05649456594248381,0.3379370045078474,-0.170990640335261
layer_1_mha_output_out,layer_5_mlp_out,1,10,0.22796539270910343,0.6629958111960441,-0.3088105872663791
layer_1_mha_output_out,layer_6_mha_output_out,1,11,0.04351061377749976,0.3505625558777621,-0.2313228124797986
layer_1_mha_output_out,layer_6_mlp_out,1,12,0.07811373916499775,0.5552950267348125,-0.43998607211930424
layer_1_mha_output_out,layer_7_mha_output_out,1,13,0.024610069110021504,0.2641351938918606,-0.17297648983158584
layer_1_mha_output_out,layer_7_mlp_out,1,14,0.26547876006921267,0.7484738255287235,-0.41590364460403256
layer_1_mha_output_out,layer_8_mha_output_out,1,15,0.03547758044533755,0.3076843306407112,-0.1953224447613419
layer_1_mha_output_out,layer_8_mlp_out,1,16,0.24086657801980393,0.7193194970660715,-0.4075237988238555
layer_1_mha_output_out,layer_9_mha_output_out,1,17,-0.011892649156315382,0.18335588718365936,-0.2445800803784539
layer_1_mha_output_out,layer_9_mlp_out,1,18,0.014440431469467274,0.6712382532086655,-0.6590665709723177
layer_1_mha_output_out,layer_10_mha_output_out,1,19,0.025151887138610385,0.2383897153014467,-0.1336072806363361
layer_1_mha_output_out,layer_10_mlp_out,1,20,0.3358717583434845,0.8251776726738524,-0.4295244096198805
layer_1_mha_output_out,layer_11_mha_output_out,1,21,0.025646496064318347,0.31657580765876525,-0.23974163398628995
layer_1_mha_output_out,layer_11_mlp_out,1,22,0.3156126540196982,0.7423333029306212,-0.22474568050710414
layer_1_mha_output_out,layer_12_mha_output_out,1,23,-0.03237095584910521,0.22734245571176664,-0.3541611956592907
layer_1_mha_output_out,layer_12_mlp_out,1,24,0.27978686116334095,0.7054306866641706,-0.2530320151330221
layer_1_mha_output_out,layer_13_mha_output_out,1,25,-0.0019678710058956828,0.12595798767884578,-0.1412730755008149
layer_1_mha_output_out,layer_13_mlp_out,1,26,0.24183013875008885,0.6536307655990297,-0.24321857179019624
layer_1_mha_output_out,layer_14_mha_output_out,1,27,0.008984942710968835,0.1942101151406586,-0.14887640980184874
layer_1_mha_output_out,layer_14_mlp_out,1,28,0.17494769871319582,0.5236075346011196,-0.1505660749449702
layer_1_mha_output_out,layer_15_mha_output_out,1,29,-0.006342440343571232,0.09380453124299933,-0.15998347811499097
layer_1_mha_output_out,layer_15_mlp_out,1,30,0.11140261625362324,0.5144354283110388,-0.3095399356964302
layer_1_mha_output_out,layer_16_mha_output_out,1,31,-0.06825723914163473,0.3811192106214944,-0.5158140861198351
layer_1_mha_output_out,layer_16_mlp_out,1,32,0.31045877226630614,0.7260522191800375,-0.1926877138018514
layer_1_mha_output_out,layer_17_mha_output_out,1,33,-0.0010440335360910602,0.16457881776044647,-0.17073780053646245
layer_1_mha_output_out,layer_17_mlp_out,1,34,0.29403978435461353,0.6661854766483661,-0.07021304069524267
layer_1_mha_output_out,layer_18_mha_output_out,1,35,-0.01474541917759331,0.16337509620991833,-0.2487046218837391
layer_1_mha_output_out,layer_18_mlp_out,1,36,0.1988583848860359,0.579747112070899,-0.20165047073629577
layer_1_mha_output_out,layer_19_mha_output_out,1,37,-0.01949808392619401,0.1684430779630471,-0.2766921953788192
layer_1_mha_output_out,layer_19_mlp_out,1,38,0.15372636179245358,0.47599795320692717,-0.11532582983593413
layer_1_mha_output_out,layer_20_mha_output_out,1,39,-0.02405659972995422,0.2011848113275144,-0.3106527670216948
layer_1_mha_output_out,layer_20_mlp_out,1,40,0.25373311112455343,0.672308695664393,-0.2524010700879115
layer_1_mha_output_out,layer_21_mha_output_out,1,41,-0.007666830751502429,0.2355564784944478,-0.26583398074218206
layer_1_mha_output_out,layer_21_mlp_out,1,42,0.3967863520053183,0.8307161745966583,-0.11362658378593402
layer_1_mha_output_out,layer_22_mha_output_out,1,43,0.035709883038542056,0.15044668428363073,0.09938269453418913
layer_1_mha_output_out,layer_22_mlp_out,1,44,0.4204354562820163,0.8608284570461072,-0.06596976547609532
layer_1_mha_output_out,layer_23_mha_output_out,1,45,0.049990998878210346,0.16895958465894573,0.15039961129261
layer_1_mha_output_out,layer_23_mlp_out,1,46,0.42674897954083046,0.8397122839049338,0.18322370676629313
layer_1_mha_output_out,layer_24_mha_output_out,1,47,0.03907126775518055,0.21001458336702758,-0.017104933792468545
layer_1_mha_output_out,layer_24_mlp_out,1,48,0.3654969796437004,0.7363167265010584,0.1085119059396891
layer_1_mha_output_out,layer_25_mha_output_out,1,49,0.006977408814289654,0.12991771678362687,-0.07637059668685016
layer_1_mha_output_out,layer_25_mlp_out,1,50,0.3638993559881487,0.7347176137477551,0.10263400299800216
layer_1_mha_output_out,layer_26_mha_output_out,1,51,0.13566314481929598,0.3903887096273183,0.013834051766171189
layer_1_mha_output_out,layer_26_mlp_out,1,52,0.4033897705480639,0.8380926195145254,-0.09675883405343383
layer_1_mha_output_out,layer_27_mha_output_out,1,53,0.04197323907933315,0.18983213880994304,0.04283904634811396
layer_1_mha_output_out,layer_27_mlp_out,1,54,0.2634698980392043,0.792125405986095,-0.5301922614899448
layer_1_mha_output_out,layer_28_mha_output_out,1,55,0.05173381165451485,0.17391381004427572,0.14784911682159635
layer_1_mha_output_out,layer_28_mlp_out,1,56,-0.16744549612480886,0.5172371872993147,-0.6948708269013706
layer_1_mlp_out,layer_1_mha_output_out,2,1,0.0,0.0,NaN
layer_1_mlp_out,layer_1_mlp_out,2,2,1.0,Inf,NaN
layer_1_mlp_out,layer_2_mha_output_out,2,3,0.10385935369503008,0.36171390259413877,-0.04671991126311338
layer_1_mlp_out,layer_2_mlp_out,2,4,0.32776810623403585,0.7697054878396431,-0.2658765325660997
layer_1_mlp_out,layer_3_mha_output_out,2,5,0.035539585540733,0.2737281875873856,-0.14443070041845785
layer_1_mlp_out,layer_3_mlp_out,2,6,0.20832485374330956,0.64853725268446,-0.3294901514064883
layer_1_mlp_out,layer_4_mha_output_out,2,7,0.11246334110857614,0.38839233876816476,-0.07115619213564256
layer_1_mlp_out,layer_4_mlp_out,2,8,0.152242920119664,0.5811700898727843,-0.33174269354979125
layer_1_mlp_out,layer_5_mha_output_out,2,9,0.06621625249462326,0.3446171645406664,-0.14944488467010889
layer_1_mlp_out,layer_5_mlp_out,2,10,0.21341520575959738,0.648777805482078,-0.3164319091367511
layer_1_mlp_out,layer_6_mha_output_out,2,11,0.048238186559929175,0.3505366246772721,-0.2169450435489186
layer_1_mlp_out,layer_6_mlp_out,2,12,0.0554671272635634,0.5490038004802379,-0.4696163581187926
layer_1_mlp_out,layer_7_mha_output_out,2,13,0.024210456352050103,0.26091554591156857,-0.17004184881624812
layer_1_mlp_out,layer_7_mlp_out,2,14,0.28861356321610143,0.7783843903570054,-0.43273046802986265
layer_1_mlp_out,layer_8_mha_output_out,2,15,0.050087206268805695,0.3107390186265439,-0.14890396275871995
layer_1_mlp_out,layer_8_mlp_out,2,16,0.27361924851058705,0.7491711248792077,-0.39525043431139395
layer_1_mlp_out,layer_9_mha_output_out,2,17,-0.007629141269392514,0.185518622975973,-0.22462982313713956
layer_1_mlp_out,layer_9_mlp_out,2,18,0.06795842936920082,0.6777684097706339,-0.6150338859610776
layer_1_mlp_out,layer_10_mha_output_out,2,19,0.029944030375839925,0.24222746061672815,-0.11844836685911722
