step,loss,abs_alpha,abs_grad_alpha,grad_theta_norm
1.0,3.9236319065093994,1.0,0.0,1.2890098792230962
2.0,4.078445911407471,0.999255895614624,0.0025972428265959024,1.3910038822643023
3.0,3.906893730163574,0.9984153509140015,0.0018795507494360209,1.2109538012060568
4.0,4.041501998901367,0.9976072907447815,0.007338385097682476,1.040251313422768
5.0,4.203170299530029,0.9968030452728271,0.014844510704278946,1.2518732316719652
6.0,4.05940580368042,0.9959359765052795,0.013830863870680332,1.38497517708161
7.0,4.121642589569092,0.9952177405357361,0.0015947483479976654,1.1890353041596942
8.0,4.019359111785889,0.9945946335792542,0.00043805409222841263,1.4146626639346747
9.0,3.956014394760132,0.9943022727966309,0.010275516659021378,1.2064231299563204
10.0,3.9824612140655518,0.9941931962966919,0.007316210772842169,1.31829178626379
11.0,4.262820243835449,0.9937335252761841,0.03981558233499527,1.3753484236130622
12.0,4.369260787963867,0.9931207299232483,0.03215525671839714,1.3563366165541146
13.0,3.801551580429077,0.9926842451095581,0.012491200119256973,1.5776234638151188
14.0,4.249391078948975,0.9920690059661865,0.05109076201915741,1.2125976244901373
15.0,4.083066940307617,0.9913804531097412,0.027921058237552643,1.470600293092542
16.0,4.046984672546387,0.9907109141349792,0.00822299811989069,1.3800983519674004
17.0,4.117583751678467,0.9899551272392273,0.03701236471533775,1.2754686794349404
18.0,3.9607250690460205,0.9892460107803345,0.0042831795290112495,1.3922618481615032
19.0,4.039193630218506,0.9884936213493347,0.024288026615977287,1.0271457216072002
20.0,4.019160270690918,0.9876631498336792,0.04132494330406189,1.1714717243289852
21.0,4.042455196380615,0.9869028329849243,0.0009462423622608185,1.316095608138337
22.0,4.104527950286865,0.9862852692604065,0.013649612665176392,1.4108737185694589
23.0,4.1046462059021,0.9856348037719727,0.019703155383467674,1.4754652312243959
24.0,4.081032752990723,0.984941303730011,0.023453164845705032,1.2102034249862825
25.0,4.09559965133667,0.9842185378074646,0.02104467712342739,1.2602290482324114
26.0,4.107794761657715,0.983524739742279,0.007473562378436327,1.0706288919839413
27.0,4.163732051849365,0.982853353023529,0.008250052109360695,1.2235984057315765
