step,loss,abs_alpha,abs_grad_alpha,grad_theta_norm
1.0,3.8907949924468994,1.0,0.0,1.5199456520152146
2.0,4.106795787811279,0.999255895614624,0.010506545193493366,1.3831716898100515
3.0,4.112234115600586,0.9984288215637207,0.021352365612983704,1.3863659280155884
4.0,4.239210605621338,0.9978396892547607,0.0033751153387129307,1.310072474226833
5.0,3.8326163291931152,0.9971671104431152,0.010292869061231613,1.517525941529612
6.0,4.012218475341797,0.9964744448661804,0.006808098405599594,1.6195937301608423
7.0,4.180214881896973,0.9957374930381775,0.00930055696517229,1.5697097670018285
8.0,3.847649335861206,0.9949803948402405,0.007762119174003601,1.2232635283789024
9.0,4.012630462646484,0.9942129254341125,0.007079795002937317,1.1693645664827463
10.0,4.112123012542725,0.9933739900588989,0.021031612530350685,1.3479658867625295
11.0,4.146299839019775,0.9925075769424438,0.03919508680701256,1.2761637328638828
12.0,4.168224334716797,0.9915923476219177,0.030736546963453293,1.2037551500682988
13.0,3.833648204803467,0.990637481212616,0.03949754312634468,1.370776254706831
14.0,4.082434177398682,0.9898719787597656,0.01295060757547617,1.2724743336984787
15.0,3.9930989742279053,0.9891682267189026,0.0017089275643229485,1.4840551821037407
16.0,4.148899078369141,0.988381564617157,0.03577738255262375,1.3560903344187902
17.0,4.062395095825195,0.987607479095459,0.011329103261232376,1.3401637035315814
18.0,4.058216094970703,0.9867715835571289,0.03265804797410965,1.3037618705827276
19.0,4.153108596801758,0.9858632683753967,0.05081247165799141,1.16807629127931
20.0,4.065379619598389,0.984894871711731,0.06861995160579681,1.160146852522839
21.0,3.94193434715271,0.9839322566986084,0.02401718683540821,1.1901291935177492
22.0,4.049610137939453,0.983051598072052,0.001096364576369524,1.1831186923127819
23.0,3.9746336936950684,0.9821738600730896,0.021213892847299576,1.1152203289050937
24.0,3.9359865188598633,0.9813521504402161,0.00556167121976614,1.3783703069287703
25.0,4.036135673522949,0.9805570244789124,0.011944383382797241,1.5045860196295178
26.0,4.032027721405029,0.9799301028251648,0.021046284586191177,1.5667280178510596
27.0,4.271644115447998,0.9792147278785706,0.043301209807395935,1.487810025768632
28.0,4.214522838592529,0.9784876704216003,0.020556392148137093,1.4368518372365924
29.0,4.038441181182861,0.9777857661247253,0.010191133245825768,0.982037297310322
30.0,4.1116108894348145,0.9771511554718018,0.0011982191354036331,1.1126236849465247
31.0,4.159793853759766,0.9763945937156677,0.05866507440805435,1.3590342888499505
32.0,4.084842681884766,0.9758180379867554,0.026773672550916672,1.5662228616176306
33.0,3.8031375408172607,0.9753932952880859,0.02462771162390709,1.162571004604401
34.0,4.032236099243164,0.9749113917350769,0.02650042064487934,1.2717970227394437
35.0,4.009706020355225,0.974460780620575,0.0030699295457452536,1.070237684266533
36.0,3.8929224014282227,0.9740939140319824,0.01095442846417427,1.1738050060298395
37.0,4.323463439941406,0.9735751748085022,0.05494268238544464,1.1271757255744461
38.0,4.28415060043335,0.9728929400444031,0.07276773452758789,1.5363598723461234
39.0,4.11425256729126,0.9722645282745361,0.002140755532309413,0.9162268848942692
40.0,4.199578762054443,0.9715691208839417,0.03992629423737526,1.2798858803211486
41.0,4.153115749359131,0.970758855342865,0.06525419652462006,1.3536474044813929
42.0,4.06245756149292,0.969962477684021,0.01901211030781269,0.983146676531505
43.0,4.061833381652832,0.9692589044570923,0.006185811944305897,1.3405680743462511
44.0,4.055504322052002,0.9684957265853882,0.0416715070605278,1.2126305979605885
45.0,3.8748555183410645,0.967771589756012,0.009273945353925228,0.9743114543274982
46.0,3.9965620040893555,0.9670364260673523,0.024485554546117783,0.9566298672719273
47.0,3.945906162261963,0.9663211107254028,0.014468974433839321,1.1161349338163216
